Type,x1,y1,x2,y2
Wall,16,6,16,5
Wall,12,0,13,0
Wall,12,0,11,0
Wall,9,14,9,13
Wall,9,14,8,14
Wall,17,2,16,2
Wall,17,2,18,2
Wall,9,9,9,8
Wall,6,3,6,2
Wall,6,3,6,4
Wall,4,14,4,13
Wall,4,14,3,14
Wall,7,16,8,16
Wall,7,16,6,16
Wall,15,16,15,17
Wall,15,16,14,16
Wall,1,14,0,14
Wall,1,14,2,14
Wall,2,0,3,0
Wall,2,0,1,0
Wall,13,16,12,16
Wall,13,16,14,16
Wall,0,20,0,19
Wall,0,20,1,20
Wall,5,16,6,16
Wall,5,16,5,17
Wall,15,18,15,17
Wall,15,18,15,19
Wall,11,12,11,11
Wall,11,12,11,13
Wall,0,8,1,8
Wall,0,8,0,7
Wall,0,8,0,9
Wall,17,14,18,14
Wall,17,14,16,14
Wall,20,2,19,2
Wall,20,2,20,3
Wall,11,9,11,8
Wall,15,17,15,18
Wall,15,17,15,16
Wall,1,20,2,20
Wall,1,20,0,20
Wall,4,10,4,11
Wall,20,20,19,20
Wall,20,20,20,19
Wall,17,8,18,8
Wall,17,8,16,8
Wall,11,0,10,0
Wall,11,0,12,0
Wall,14,3,14,2
Wall,14,3,14,4
Wall,19,8,18,8
Wall,19,8,20,8
Wall,4,11,4,10
Wall,4,11,4,12
Wall,20,5,20,4
Wall,20,5,20,6
Wall,6,12,6,11
Wall,6,12,6,13
Wall,18,0,19,0
Wall,18,0,17,0
Wall,6,13,6,12
Wall,6,13,6,14
Wall,8,14,9,14
Wall,8,14,7,14
Wall,8,5,7,5
Wall,14,9,14,10
Wall,14,9,14,8
Wall,20,18,20,17
Wall,20,18,20,19
Wall,20,13,20,14
Wall,20,13,20,12
Wall,0,17,0,18
Wall,0,17,0,16
Wall,16,8,17,8
Wall,13,5,12,5
Wall,13,5,14,5
Wall,14,2,14,1
Wall,14,2,14,3
Wall,0,18,0,17
Wall,0,18,0,19
Wall,12,14,11,14
Wall,12,14,13,14
Wall,20,10,20,9
Wall,20,10,20,11
Wall,18,20,19,20
Wall,18,20,17,20
Wall,10,16,10,17
Wall,4,2,4,3
Wall,4,2,3,2
Wall,14,7,13,7
Wall,14,7,14,8
Wall,20,12,20,13
Wall,20,12,20,11
Wall,3,2,4,2
Wall,3,2,2,2
Wall,6,7,7,7
Wall,6,7,6,8
Wall,18,8,19,8
Wall,18,8,17,8
Wall,0,3,0,2
Wall,0,3,0,4
Wall,5,17,5,18
Wall,5,17,5,16
Wall,11,20,12,20
Wall,11,20,10,20
Wall,17,0,16,0
Wall,17,0,18,0
Wall,18,14,19,14
Wall,18,14,17,14
Wall,7,14,6,14
Wall,7,14,8,14
Wall,16,3,16,4
Wall,16,3,16,2
Wall,6,1,6,2
Wall,6,1,6,0
Wall,14,16,15,16
Wall,14,16,13,16
Wall,2,20,3,20
Wall,2,20,1,20
Wall,10,17,10,16
Wall,10,17,10,18
Wall,7,7,6,7
Wall,7,7,8,7
Wall,11,11,11,12
Wall,6,2,6,3
Wall,6,2,6,1
Wall,17,20,16,20
Wall,17,20,18,20
Wall,16,0,15,0
Wall,16,0,17,0
Wall,4,4,4,3
Wall,4,4,4,5
Wall,20,14,19,14
Wall,20,14,20,15
Wall,20,14,20,13
Wall,15,0,14,0
Wall,15,0,16,0
Wall,2,14,1,14
Wall,2,14,3,14
Wall,13,0,12,0
Wall,13,0,14,0
Wall,3,0,4,0
Wall,3,0,2,0
Wall,16,20,15,20
Wall,16,20,17,20
Wall,14,10,14,9
Wall,14,10,14,11
Wall,6,11,6,12
Wall,6,11,6,10
Wall,10,20,10,19
Wall,10,20,11,20
Wall,10,20,9,20
Wall,5,20,4,20
Wall,5,20,6,20
Wall,5,20,5,19
Wall,10,2,10,1
Wall,10,2,10,3
Wall,16,12,16,11
Wall,16,12,16,13
Wall,0,14,1,14
Wall,0,14,0,15
Wall,0,14,0,13
Wall,11,14,12,14
Wall,11,14,11,13
Wall,9,13,9,12
Wall,9,13,9,14
Wall,20,15,20,14
Wall,20,15,20,16
Wall,10,3,10,2
Wall,10,3,10,4
Wall,8,20,9,20
Wall,8,20,7,20
Wall,20,17,20,18
Wall,20,17,20,16
